Dataset,Type,Lang,file,vowel,prec,foll,start,end,F1,F2,MD,Alignment,Transcript,Linguistic,Formant,Fine,BG Music?,BG Other?,Poor Audio?,Coartic?,Hi Voice,Describe,Notes
wild,outlier,hau,B01___01_Matthew_____HAUCLVN2DA_00027,u,SIL,w,9.96,10.14,968.23,2171.97,141.792,Target Overlap,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,prec:[z],
wild,outlier,hau,B01___06_Matthew_____HAUCLVN2DA_00043,u,k,SIL,0.81,0.93,548.11,1794.81,15.928,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___07_Matthew_____HAUCLVN2DA_00025,a,d,ɡ,1.89,1.95,292.13,2006.11,15.275,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,foll:[g],music very faint
wild,outlier,hau,B01___10_Matthew_____HAUCLVN2DA_00031,a,SIL,o,7.05,7.23,850.46,1958.82,21.335,Target Overlap,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,foll:[b],
wild,outlier,hau,B01___10_Matthew_____HAUCLVN2DA_00031,a,j,k,3.15,3.24,382.36,2134.18,16.856,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,ɪ; prec:[j],
wild,outlier,hau,B01___13_Matthew_____HAUCLVN2DA_00023,a,j,k,2.49,2.55,333.08,2062.21,15.492,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,ɪ; prec:[j],
wild,outlier,hau,B01___13_Matthew_____HAUCLVN2DA_00047,e,n,SIL,7.8,7.92,249.18,1395.91,26.166,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___13_Matthew_____HAUCLVN2DA_00074,a,ɡ,SIL,1.38,1.44,456.91,2175.03,17.685,Broad,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___14_Matthew_____HAUCLVN2DA_00004,a,d,SIL,2.52,2.58,373.81,2084.92,15.132,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ɪ,
wild,outlier,hau,B01___19_Matthew_____HAUCLVN2DA_00007,a,ɡ,b,0.6,0.66,335.97,998.95,15.323,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___21_Matthew_____HAUCLVN2DA_00014,o,h,s,5.61,5.76,611.69,1074.6,13.913,,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B01___22_Matthew_____HAUCLVN2DA_00004,i,a,k,0.81,0.87,359.18,666.33,26.714,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___24_Matthew_____HAUCLVN2DA_00038,e,k,SIL,0.99,1.11,335.17,2507.23,14.409,Target Overlap,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B01___25_Matthew_____HAUCLVN2DA_00002,o,ɡ,SIL,8.16,8.25,261.52,684.43,19.678,,,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,u,
wild,outlier,hau,B02___07_Mark________HAUCLVN2DA_00009,a,n,n,3.54,3.57,887.49,1843.51,19.406,Broad,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B02___09_Mark________HAUCLVN2DA_00016,i,ɽ,SIL,5.58,5.67,1562.81,1713.57,367.088,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B02___09_Mark________HAUCLVN2DA_00024,i,ʃ,SIL,0.78,0.81,632.52,1592.67,15.861,Broad,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B02___11_Mark________HAUCLVN2DA_00016,i,a,u,2.64,2.73,1056.4,2410.76,138.643,Target Overlap,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
wild,outlier,hau,B02___12_Mark________HAUCLVN2DA_00050,i,t͡ʃ,w,9.27,9.3,328.73,993.33,15.366,,,Change,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,u; foll:[w],
wild,outlier,hau,B02___14_Mark________HAUCLVN2DA_00038,a,ɡ,t͡ʃ,1.59,1.65,218.96,1384.97,14.565,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___02_Luke________HAUCLVN2DA_00010,a,m,k,7.08,7.14,380.55,863.71,17.683,Target Overlap,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___02_Luke________HAUCLVN2DA_00044,u,s,SIL,3.27,3.3,962.61,2024.72,134.226,,X Sounds,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
wild,outlier,hau,B03___06_Luke________HAUCLVN2DA_00047,i,a,SIL,2.85,2.88,586.32,1249.51,13.911,Broad,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
