lang	spkr	gender	F1 avg	F2 avg
dutch	00002	female	519.9341714804723	1633.6066381168635
dutch	00003	female	641.4433234042554	1765.2232794326242
dutch	00004	male	477.58711984848486	1616.5919924242423
dutch	00007	male	987.8756231261426	1984.4063859232176
dutch	00009	female	553.7454697297297	1711.7428327927928
dutch	00010	male	478.1183098765432	1643.6319081128747
dutch	00011	male	506.1781094845361	1525.9862589003437
dutch	00013	male	424.0506619047619	1519.8882861904763
dutch	00014	male	464.1509029535865	1447.4333724331927
dutch	00015	female	603.9403921285141	1670.938833815261
dutch	00022	male	496.02731923076925	1574.9909987179487
dutch	00023	male	488.33586616161614	1420.6365555555556
dutch	00025	female	535.8990301747311	1717.9333557795699
dutch	00027	male	494.90605815295817	1580.7443176046177
dutch	00031	male	509.6813444229529	1563.9324139909736
dutch	00033	female	595.5170834256184	1673.139922997416
dutch	00038	male	466.24195535168195	1571.4648978593273
dutch	00040	male	540.3240115369262	1618.439939520958
dutch	00042	male	478.9128194282946	1578.7775101986433
dutch	00044	male	481.51948485912914	1606.9540535455544
dutch	00045	male	506.1104357142857	1546.7485452380952
dutch	00048	male	536.8422699774267	1716.0950144469525
dutch	00049	male	565.500215842839	1618.2924112801013
dutch	00050	male	607.9294826044703	1699.5031282150956
dutch	00055	female	490.7623834162521	1663.461643946932
dutch	00056	male	904.3535631188118	2025.1581019801981
dutch	00060	male	412.92602528199143	1552.7369677557372
dutch	00061	male	643.1708525423729	1587.7398564971752
dutch	00063	male	650.2189172144873	1708.7843967944118
dutch	00065	female	551.3283948717949	1816.6806518315018
dutch	00068	male	558.0310400900901	1497.5172333333333
dutch	00069	male	505.98447717794915	1625.712387403599
dutch	00071	male	452.7668210774411	1585.7969755555555
dutch	00072	male	542.4977003629764	1551.243371445856
dutch	00073	female	500.1710803030303	1618.6907895622896
dutch	00074	male	436.8806234972678	1871.455856284153
dutch	00075	male	467.29435153782214	1569.1741571903574
dutch	00080	male	710.2760154471545	1611.4046539295393
dutch	00081	male	539.1175896024465	1470.6158844036697
dutch	00090	male	487.3902113207547	1429.1808880503145
dutch	00091	female	490.1628377618193	1670.3656521244764
dutch	00093	male	680.2556396296296	1649.017536851852
dutch	00096	male	491.56426537102476	1705.1725296034551
dutch	00100	female	506.5257549955791	1633.4992217064544
dutch	00102	male	619.4751532989839	1740.1828582510377
dutch	00104	male	519.3403085714285	1634.3974523809522
dutch	00105	male	505.71078379928315	1583.1217144802868
dutch	00107	male	588.5737924268502	1726.7411162363742
dutch	00108	male	799.9810288395062	1806.612764888889
dutch	00110	male	509.42455333333334	1623.868193125
dutch	00113	male	576.0232411209439	1632.707890442478
dutch	00114	male	487.5588254660146	1468.4226003827343
dutch	00117	male	712.868531147541	1797.1737879781422
dutch	00119	female	509.9307857142857	1573.8361571428572
dutch	00120	male	535.8045738078292	1602.561933499407
dutch	00124	male	530.3316914078675	1503.4744654244307
dutch	00127	female	578.0269606891189	1590.8900354133254
dutch	00131	male	456.3108737179487	1547.7678183333333
dutch	00136	male	544.6643283524904	1454.0040666666666
dutch	00142	male	459.70118169245194	1522.459285325832
dutch	00146	male	506.79835933528835	1617.4736251221896
dutch	00147	male	559.6201775499043	1538.4067679792179
dutch	00149	male	506.31223041412085	1542.1716186693823
dutch	00152	male	494.72328571428574	1490.8724341991342
dutch	00153	female	547.7525051987767	1728.1480524464832
dutch	00157	male	515.9551157741348	1534.0732324225864
dutch	00159	male	584.1122947712419	1648.40458709498
dutch	00162	male	735.6741241360395	1795.926423459499
dutch	00164	male	486.98676892681425	1414.3852734317343
dutch	00165	male	496.08976920289854	1632.5776016304349
dutch	00166	male	524.8233238857501	1720.2835563716258
dutch	00170	male	669.5198176854116	1730.752907416463
dutch	00176	male	538.8314424460432	1629.4952755395684
dutch	00179	male	530.7266327948427	1414.0672055593477
dutch	00180	male	481.42231206896554	1564.2338471264368
dutch	00182	male	483.0214128672746	1413.6752887537994
dutch	00184	male	598.8571636363636	1541.2168797979798
dutch	00185	male	568.0857936802973	1581.8052351920694
dutch	00186	male	519.3455585034013	1687.9855095238095
dutch	00188	male	466.3207077327327	1663.0244608108108
dutch	00192	male	557.3026361869092	1575.997665329053
dutch	00193	male	548.2696018115942	1519.0165998188406
dutch	00194	male	562.1730347171347	1667.6056226902726
dutch	00197	male	460.48464375	1641.4938552083333
dutch	00199	male	560.4625122222222	1521.8814384444445
dutch	00200	male	535.3360778929189	1520.5117279792746
dutch	00202	female	572.5524393162393	1766.4971329059829
dutch	00203	male	487.1602861016949	1531.4264938983051
dutch	00204	male	488.2618719723183	1662.2478347174165
dutch	00207	male	417.561519382716	1562.4581076543209
dutch	00210	male	553.3064733333333	1621.7301573333334
dutch	00211	male	625.4084412698413	1657.212980952381
dutch	00215	male	540.3890325476191	1612.2748748333333
dutch	00217	male	548.4941427509293	1521.9587999999999
dutch	00218	male	508.43033300485257	1631.9828768719672
dutch	00219	male	506.22000998877667	1661.1152076318742
dutch	00224	male	532.5934518388791	1519.3582089900758
dutch	00230	female	549.9352607142857	1560.6963833333334
dutch	00234	male	523.0790071684588	1488.3660921146952
dutch	00235	male	556.1515431216931	1588.4295289682539
dutch	00236	male	541.4908853832442	1514.6911962566844
dutch	00237	male	504.44560782997763	1623.159709992543
dutch	00241	male	488.3863365180621	1436.949306489066
dutch	00242	female	507.5568287812041	1565.9684016152717
dutch	00248	female	554.6114475540857	1738.7492345597354
dutch	00252	male	493.8116454576043	1549.5393665545087
dutch	00255	male	778.3452630331753	1933.8747496050553
dutch	00256	male	515.169907957958	1526.6817406906907
dutch	00258	male	454.90078740499456	1719.9039109663408
dutch	00261	male	688.6703034722223	1787.3523555555555
dutch	00265	male	510.00752886266093	1594.623413018598
dutch	00267	male	523.6464744002525	1740.5483772411617
dutch	00268	female	584.7206226227795	1652.8000715256007
dutch	00270	other	526.7914696606787	1679.014278522954
dutch	00274	male	466.0212385093168	1544.0351056935817
dutch	00276	male	522.5639182352941	1590.5020519607842
dutch	00281	male	546.9761905555556	1517.4272080555556
dutch	00282	male	680.3222625937835	1621.9472382368704
dutch	00283	male	498.0025156666667	1682.8306653333334
dutch	00285	male	526.865049232159	1483.1877093044263
dutch	00286	female	505.7996311904762	1784.709750952381
dutch	00289	male	507.1068743040624	1519.687348863278
dutch	00290	female	571.4064666666667	1823.3090822580646
dutch	00291	male	532.8047353333334	1781.3303133333334
dutch	00294	male	563.3070232613909	1486.6416237410072
dutch	00295	male	530.0003459580838	1545.3197819361278
dutch	00296	male	929.2337377472262	2024.5789060299082
dutch	00297	male	444.12189951409135	1652.6100699708454
dutch	00300	male	514.5492752136752	1542.2706404996713
dutch	00304	female	592.2344214358974	1649.691947076923
dutch	00306	female	560.22615	1983.8534027777778
