lang	spkr	gender	F1 avg	F2 avg
dutch	00002	female	520.2355676960339	1588.7951714804724
dutch	00003	female	642.5739014184397	1754.9080617021277
dutch	00004	male	455.12337545454545	1541.6279127272728
dutch	00007	male	692.9418087446679	1655.0241379037172
dutch	00009	female	539.7267068468468	1624.8419351351351
dutch	00010	male	464.11375467372136	1549.6570744268079
dutch	00011	male	465.1674301718213	1449.8337142268042
dutch	00013	male	404.46342095238094	1473.8667042857144
dutch	00014	male	444.31296882325364	1378.2665651664322
dutch	00015	female	603.9809283534137	1630.1488052208836
dutch	00022	male	455.1287653846154	1524.8784775641025
dutch	00023	male	436.7456191919192	1346.5824845959596
dutch	00025	female	501.4115603494624	1607.7878100134408
dutch	00027	male	457.5873131313131	1502.9514691197692
dutch	00031	male	486.2367426821406	1505.1169783365572
dutch	00033	female	592.2714970468808	1653.0987896640827
dutch	00038	male	466.39703180428137	1558.5370712538227
dutch	00040	male	492.9028664271457	1514.7880198403193
dutch	00042	male	447.1408025920543	1462.9749163032945
dutch	00044	male	451.96049991950235	1534.1942537138675
dutch	00045	male	464.25377142857144	1404.8527952380953
dutch	00048	male	473.44885838976677	1592.9951598946577
dutch	00049	male	510.60221609632447	1515.954241825095
dutch	00050	male	456.9301901846453	1505.5461073858114
dutch	00055	female	500.5378774461028	1612.247053233831
dutch	00056	male	657.6684405940595	1706.9164905940595
dutch	00060	male	424.28265418125244	1501.8621129910541
dutch	00061	male	603.5603107344633	1547.310793220339
dutch	00063	male	578.9219334529448	1584.6430783455337
dutch	00065	female	550.4815505494505	1806.7853298534799
dutch	00068	male	539.1908518018018	1429.0207067567567
dutch	00069	male	481.58568043416165	1506.1137331619536
dutch	00071	male	431.72610404040404	1491.0513244444444
dutch	00072	male	508.03824912280703	1446.8202059891107
dutch	00073	female	527.1486037037037	1629.321940909091
dutch	00074	male	408.8766300546448	1715.8156349726776
dutch	00075	male	432.78093591022446	1437.599977306733
dutch	00080	male	639.8889188346883	1515.702744308943
dutch	00081	male	516.7265250764526	1409.9939009174311
dutch	00090	male	469.03615094339625	1387.6749591194969
dutch	00091	female	467.9801191502095	1515.3340375224416
dutch	00093	male	620.4174494444444	1412.7077792592593
dutch	00096	male	452.5008394189242	1595.1308808009424
dutch	00100	female	508.58798368700263	1621.0072110079575
dutch	00102	male	533.6749318162301	1582.5159323028481
dutch	00104	male	496.5888295238095	1561.081679047619
dutch	00105	male	463.14419028673836	1490.4702436917562
dutch	00107	male	504.72430745840506	1546.777444520941
dutch	00108	male	574.9391337283951	1518.6660930864198
dutch	00110	male	485.1694007291667	1542.4579471875
dutch	00113	male	513.6475418879056	1500.5400043067846
dutch	00114	male	479.32320915018784	1407.3613026862286
dutch	00117	male	509.08842021857924	1503.8797038251366
dutch	00119	female	508.00561825396824	1551.1656333333333
dutch	00120	male	485.8085803321471	1476.3501488849347
dutch	00124	male	516.6125784679089	1462.5067830227742
dutch	00127	female	563.5671630752782	1467.5510447246927
dutch	00131	male	417.4822392307692	1484.2456653846154
dutch	00136	male	529.4185852490422	1396.6580909961685
dutch	00142	male	432.48107691045476	1464.5823617674637
dutch	00146	male	498.3434566959922	1576.482943206256
dutch	00147	male	548.2365728739404	1507.0768770576976
dutch	00149	male	472.9880624575696	1440.64858730482
dutch	00152	male	490.9335337662338	1471.7458865800866
dutch	00153	female	543.2984617737003	1629.8062953109072
dutch	00157	male	501.7041123861566	1403.2181148633879
dutch	00159	male	515.6080074815742	1541.8350256570714
